Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
18.91,0.439091446,0.9818383215,1919-05-20,33212.717704921,4247231.646151087,0.0259197,4.761,2461000.5,0.3689086949887251,1.365211305053238,4.1927124610125,259.845493225792,582.6372414817771,0.8615729841221937,275.3289429363803,1.868849625984282,2461046.966913342,331.2890155106863,0.6178801737500323,1
17.6,0.8027031673,1.7948988478,1924-02-28,82091.8589077372,20404838.61858593,0.0236731,4.552,2461000.5,0.3022753803601095,1.376176700300605,38.14499323266982,344.3223242894412,589.6709431367443,0.960192364774519,220.7183531652543,1.79216103582669,2461040.4057343523,335.6371506276317,0.6105099872905154,1
19.74,0.2996090839,0.6699462782,1902-03-08,79804.6169811048,12889794.974739673,0.224128,6.606,2461000.5,0.4223961244969541,0.8702636483671319,32.22464958523361,29.77255222551369,296.5341335302026,0.5026676560062754,187.4242521029615,1.237859640727988,2460894.105142282,129.1660704367929,1.214025500923769,0
18.48,0.5352479056,1.1968507018,1926-07-03,62666.0511384193,64337639.950104006,0.336548,3.497,2461000.5,0.4872577238807036,2.119874812418762,20.68966233689471,66.20817512398907,1127.362926835512,1.086949436407562,271.8765552851019,3.152800188429961,2460792.218967929,66.51023353761694,0.3193292873400705,0
17.96,0.6800721287,1.5206875095,1908-02-06,19571.3368076937,45047769.03689764,0.294277,3.503,2461000.5,0.4260356628746058,2.226300317033133,10.03122132507636,331.9709402504605,1213.316347609307,1.277816985707977,163.8717933240985,3.174783648358289,2460429.7848948464,169.3354237418797,0.2967074503770896,0
17.12,1.0012786977,2.2389272325,1981-12-29,78845.1112915348,71242997.71412185,0.419134,2.637,2461000.5,0.6174711070301765,2.944600184818643,42.661493880212,112.9281707945104,1845.601478335868,1.126394648937413,289.1712154048494,4.762805720699872,2461476.528036664,267.1467512294574,0.1950583613124339,0
16.77,1.1763998937,2.6305101311,1923-04-10,79092.6832855897,39921408.15433863,0.198888,4.172,2461000.5,0.4886794622197956,1.553382493424876,30.39825521441387,177.5985679030649,707.1573121250763,0.7942763719163622,351.4895344045099,2.312488614933389,2460979.865762901,10.50448779688213,0.5090805027783211,0
18.41,0.5527833794,1.2360612132,1905-10-11,36202.7160169783,56556170.47335422,0.264516,3.521,2461000.5,0.4533183355730278,2.123624122302642,19.97706160950549,216.5201277042694,1130.355109203547,1.160946369797676,124.9285097965557,3.086301874807607,2461169.7237308207,306.1049517984533,0.3184839853147189,0
17.75,0.7491261831,1.6750970692,1904-01-02,32529.4473257402,23728196.544768687,0.0315339,3.945,2461000.5,0.4457101651912982,1.787185338625589,9.937350427463992,58.61704534751282,872.6755660564237,0.9906186661193112,27.70200665619361,2.583752011131866,2460969.334937508,12.85634998121572,0.4125244409292008,1
19.43,0.3455850738,0.7727517171,1900-05-21,39865.3876826881,44287235.815739416,0.0612201,3.845,2461000.5,0.465283062416312,1.834563582788151,16.28891755833864,179.09236718561,907.606461820491,0.980972220791039,44.37460673334633,2.688154944785264,2460573.020950036,169.5585746252786,0.3966476828270994,0
16.41,1.3885290704,3.1048453901,1912-03-04,72219.9369598837,18464847.366752405,0.207591,7.667,2461000.5,0.3221203449346026,0.7409831414138687,25.61867534558638,103.8697486389357,232.9758568280679,0.5022973963109079,252.9314659991931,0.9796688865168296,2460976.385417339,37.26244374085219,1.54522449193383,0
